order_id,line_id,product_id,product_name,quantity,unit_price,line_value,order_date,payment_method,channel,promotion_applied,customer_id,first_name,last_name,email,phone,address,city,postcode,country,date_of_birth,gender,customer_since,loyalty_member,marketing_opt_in
1,1,1,Cinema Ticket - Adult,2,12.5,25.0,2024-01-01,Credit Card,Web,False,111,Mark,Thomas,bwalters@yahoo.co.uk,+44(0)191 496 0125,"83 Annette curve, Allenberg, ST0 4TT",Duncanhaven,W9 1QQ,UK,1947-12-28,Male,2017-09-07,True,False
1,2,4,Popcorn - Small,5,3.0,15.0,2024-01-01,Credit Card,Web,False,111,Mark,Thomas,bwalters@yahoo.co.uk,+44(0)191 496 0125,"83 Annette curve, Allenberg, ST0 4TT",Duncanhaven,W9 1QQ,UK,1947-12-28,Male,2017-09-07,True,False
1,3,7,Combo Meal,3,7.5,22.5,2024-01-01,Credit Card,Web,False,111,Mark,Thomas,bwalters@yahoo.co.uk,+44(0)191 496 0125,"83 Annette curve, Allenberg, ST0 4TT",Duncanhaven,W9 1QQ,UK,1947-12-28,Male,2017-09-07,True,False
1,4,8,3D Glasses,4,2.0,8.0,2024-01-01,Credit Card,Web,False,111,Mark,Thomas,bwalters@yahoo.co.uk,+44(0)191 496 0125,"83 Annette curve, Allenberg, ST0 4TT",Duncanhaven,W9 1QQ,UK,1947-12-28,Male,2017-09-07,True,False
1,5,10,Merchandise - T-Shirt,7,15.0,105.0,2024-01-01,Credit Card,Web,False,111,Mark,Thomas,bwalters@yahoo.co.uk,+44(0)191 496 0125,"83 Annette curve, Allenberg, ST0 4TT",Duncanhaven,W9 1QQ,UK,1947-12-28,Male,2017-09-07,True,False
2,1,7,Combo Meal,4,7.5,30.0,2024-01-02,Online,Web,True,59,Kevin,Jones,rhys09@outlook.com,+441174960425,"Studio 3, Porter grove, Brucetown, M1T 6FL",West Melanieland,ML5R 9EU,UK,1993-07-03,Male,2020-03-05,True,True
2,2,8,3D Glasses,4,2.0,8.0,2024-01-02,Online,Web,True,59,Kevin,Jones,rhys09@outlook.com,+441174960425,"Studio 3, Porter grove, Brucetown, M1T 6FL",West Melanieland,ML5R 9EU,UK,1993-07-03,Male,2020-03-05,True,True
3,1,6,Soft Drink,5,2.5,12.5,2024-01-02,Debit Card,Kiosk,True,357,Peter,Miah,kerrjayne@hotmail.co.uk,(01632)960210,"Flat 6, Edward loop, New Lee, LA4 7LE",Zoechester,HX25 4BW,UK,1977-05-24,Female,2023-05-11,True,False
3,2,7,Combo Meal,5,7.5,37.5,2024-01-02,Debit Card,Kiosk,True,357,Peter,Miah,kerrjayne@hotmail.co.uk,(01632)960210,"Flat 6, Edward loop, New Lee, LA4 7LE",Zoechester,HX25 4BW,UK,1977-05-24,Female,2023-05-11,True,False
4,1,2,Cinema Ticket - Child,2,8.0,16.0,2024-01-02,Credit Card,Kiosk,True,489,Shirley,Collins,nwright@cox.net,01184960396,"06 Williams coves, Lake Charlenehaven, E06 4HX",South Frederick,CM4N 0ZB,UK,1950-08-04,Female,2021-09-30,False,True
4,2,4,Popcorn - Small,3,3.0,9.0,2024-01-02,Credit Card,Kiosk,True,489,Shirley,Collins,nwright@cox.net,01184960396,"06 Williams coves, Lake Charlenehaven, E06 4HX",South Frederick,CM4N 0ZB,UK,1950-08-04,Female,2021-09-30,False,True
4,3,5,Popcorn - Large,1,5.0,5.0,2024-01-02,Credit Card,Kiosk,True,489,Shirley,Collins,nwright@cox.net,01184960396,"06 Williams coves, Lake Charlenehaven, E06 4HX",South Frederick,CM4N 0ZB,UK,1950-08-04,Female,2021-09-30,False,True
4,4,8,3D Glasses,1,2.0,2.0,2024-01-02,Credit Card,Kiosk,True,489,Shirley,Collins,nwright@cox.net,01184960396,"06 Williams coves, Lake Charlenehaven, E06 4HX",South Frederick,CM4N 0ZB,UK,1950-08-04,Female,2021-09-30,False,True
